"","Estimate","lwr","upr","p_value","std_error","model"
"SF - LBF22",-0.754694576937515,-1.46986701353151,-0.0395221403435188,0.0342899254719898,0.281213362726329,"FD_q1_small_PGM"
"LF - UF23",0.407009003653054,-0.503524219665198,1.31754222697131,0.654776225461328,0.358473303970364,"FD_q2_small_PGM"
"LBF - UF23",-0.182864505245598,-1.12977272539934,0.764043714908145,0.959030634815245,0.372793995367006,"FD_q2_small_PGM"
"SF - UF23",-0.726362065018371,-1.80897555142172,0.356251421384978,0.307863722604465,0.42622061826539,"FD_q2_small_PGM"
"LBF - LF23",-0.589873508898652,-1.10459625076933,-0.0751507670279785,0.0175748616303539,0.202644293675129,"FD_q2_small_PGM"
"SF - LF23",-1.13337106867143,-1.86089561853902,-0.405846518803833,0.000344592897738361,0.286423518035028,"FD_q2_small_PGM"
"SF - LBF23",-0.543497559772773,-1.29496881383749,0.207973694291942,0.243710462394787,0.295851240113592,"FD_q2_small_PGM"
"LF - UF24",0.731543961477278,-0.154590950168636,1.61767887312319,0.145016258908702,0.34934695664821,"PD_q0_small_PGM"
"LBF - UF24",0.0259413382867116,-0.903358930233879,0.955241606807302,0.999863861524225,0.366364327094425,"PD_q0_small_PGM"
"SF - UF24",-0.751526089257399,-1.80422983713458,0.301177658619783,0.254078430329271,0.415014514990703,"PD_q0_small_PGM"
"LBF - LF24",-0.705602623190566,-1.18309004748281,-0.228115198898317,0.00105012030413498,0.188243095178879,"PD_q0_small_PGM"
"SF - LF24",-1.48307005073468,-2.16290883821754,-0.803231263251816,9.26050257588074e-08,0.268017441020818,"PD_q0_small_PGM"
"SF - LBF24",-0.777467427544111,-1.4847328301921,-0.0702020248961192,0.0249657606447328,0.278830020926178,"PD_q0_small_PGM"
"LF - UF25",0.099065239247617,-0.875465901227788,1.07359637972302,0.993563593760911,0.384215536517169,"PD_q1_small_PGM"
"LBF - UF25",-0.374872969028071,-1.39993529650882,0.650189358452678,0.778860809966729,0.404137800998771,"PD_q1_small_PGM"
"SF - UF25",-0.624792690329744,-1.78175485181229,0.532169471152805,0.501128901439571,0.456140208497832,"PD_q1_small_PGM"
