"","stem","region","diversity","model","pairs","Df","SumsOfSqs","F.Model","R2","OmegaSq_degrad","OmegaSq_catchment","p.value","p.adjusted","sig","q_value"
"158","large","STM","PD","large_STM_PD_q2","LBF vs SF",1,0.0933004340092256,2.27274754297862,0.0411187727046026,0.0366739340467603,0.25824113580781,0.091,0.546,"","q2"
"159","large","STM","PD","large_STM_PD_q2","UF vs SF",1,0.0918900308933873,2.24935943185815,0.0456728667703869,0.063956291280664,0.472269343845493,0.072,0.432,"","q2"
"160","large","STM","PD","large_STM_PD_q2","LF vs LBF",1,-0.00126717733282277,-0.175707885897987,-0.00375249422820573,-0.0265021913011895,0.327902510550887,0.929,1,"","q2"
"161","large","STM","PD","large_STM_PD_q2","UF vs LF",1,0.000911590592563928,0.449021199784406,0.0108330953732326,-0.0110658230225603,0.145762777032048,0.72,1,"","q2"
"162","large","STM","PD","large_STM_PD_q2","UF vs LBF",1,0.00556562620519678,0.616762791745053,0.0159713747905585,0.00617343321512498,0.493162975220377,0.568,1,"","q2"
"163","small","STM","TD","small_STM_TD_q0","LF vs SF",1,1.95908466771872,6.92662338575634,0.110074607742646,0.103140265868792,0.0939020860410352,0.001,0.006,"*","q0"
"164","small","STM","TD","small_STM_TD_q0","LBF vs SF",1,1.04161476911612,3.50790360029544,0.062078105482524,0.0527006548044666,0.131646919040467,0.001,0.006,"*","q0"
"165","small","STM","TD","small_STM_TD_q0","UF vs SF",1,1.59708050033154,5.5483170712525,0.105585057343117,0.0985439686153868,0.122590205845226,0.001,0.006,"*","q0"
"166","small","STM","TD","small_STM_TD_q0","LF vs LBF",1,0.556744275394867,1.91469087052198,0.0391434727777427,0.0230527674630966,0.107944543765738,0.001,0.006,"*","q0"
"167","small","STM","TD","small_STM_TD_q0","UF vs LF",1,0.322899713369743,1.15544076086017,0.0274090542052394,0.0062297450106534,0.0860666134377393,0.212,1,"","q0"
"168","small","STM","TD","small_STM_TD_q0","UF vs LBF",1,0.549759233185774,1.83952588040039,0.0461733878541302,0.0296462413848293,0.16497234061799,0.003,0.018,".","q0"
"169","small","STM","TD","small_STM_TD_q1","LF vs SF",1,2.55564016789092,9.09217049161476,0.139681476634521,0.142497071648606,0.141027660967704,0.001,0.006,"*","q1"
"170","small","STM","TD","small_STM_TD_q1","LBF vs SF",1,1.38309927723399,4.57665864145363,0.079488090303291,0.0761117060272834,0.167320520814971,0.001,0.006,"*","q1"
"171","small","STM","TD","small_STM_TD_q1","UF vs SF",1,1.75515106712707,6.00451857243769,0.113283145176231,0.117789167815335,0.197204615800133,0.001,0.006,"*","q1"
"172","small","STM","TD","small_STM_TD_q1","LF vs LBF",1,0.754217635111429,2.64744764690455,0.0533249496677725,0.0421243967105507,0.155291928319937,0.001,0.006,"*","q1"
"173","small","STM","TD","small_STM_TD_q1","UF vs LF",1,0.352095263292616,1.29925143060843,0.0307157074100908,0.0122283434271769,0.146064985795714,0.139,0.834,"","q1"
"174","small","STM","TD","small_STM_TD_q1","UF vs LBF",1,0.607130099581434,2.02601266414647,0.0506173992684832,0.0388788075386233,0.217289780364364,0.004,0.024,".","q1"
"175","small","STM","TD","small_STM_TD_q2","LF vs SF",1,2.93516492477994,9.11704334886274,0.140010093824722,0.144572204350121,0.15144664142703,0.001,0.006,"*","q2"
"176","small","STM","TD","small_STM_TD_q2","LBF vs SF",1,1.73866263238547,5.03211585448677,0.0867126035367141,0.0833776276700981,0.156760274759117,0.001,0.006,"*","q2"
"177","small","STM","TD","small_STM_TD_q2","UF vs SF",1,1.7306800375375,5.05292932414293,0.0970729100119886,0.101198589035218,0.217484336877834,0.001,0.006,"*","q2"
"178","small","STM","TD","small_STM_TD_q2","LF vs LBF",1,0.964676692735362,3.07953374713072,0.0614928597913944,0.0539837629649416,0.182475628064935,0.001,0.006,"*","q2"
"179","small","STM","TD","small_STM_TD_q2","UF vs LF",1,0.437048371336188,1.4325188363655,0.0337599293101075,0.0180786103393462,0.192941305491663,0.128,0.768,"","q2"
"180","small","STM","TD","small_STM_TD_q2","UF vs LBF",1,0.672347323081605,1.99725779262686,0.0499348681097592,0.0388710795502323,0.227874960223384,0.006,0.036,".","q2"
"181","small","STM","FD","small_STM_FD_q0","LF vs SF",1,0.0135285121968207,7.8339994475348,0.122724559252684,0.115934844513928,0.0868828814612392,0.001,0.006,"*","q0"
"182","small","STM","FD","small_STM_FD_q0","LBF vs SF",1,0.00756595328207146,4.23169454264795,0.0739397038033633,0.0658056786697004,0.127646577038203,0.001,0.006,"*","q0"
"183","small","STM","FD","small_STM_FD_q0","UF vs SF",1,0.0113214095037454,6.76184341529979,0.12577402458219,0.123599318855769,0.140110143721533,0.001,0.006,"*","q0"
"184","small","STM","FD","small_STM_FD_q0","LF vs LBF",1,0.00278955765479868,1.64790182780199,0.0338740575828951,0.0190589546991207,0.150399653769258,0.02,0.12,"","q0"
"185","small","STM","FD","small_STM_FD_q0","UF vs LF",1,0.00202777487274799,1.30940091718076,0.0309482263703963,0.0126145140141114,0.148740999180469,0.185,1,"","q0"
"186","small","STM","FD","small_STM_FD_q0","UF vs LBF",1,0.00279423332144548,1.7251847092598,0.0434279845867567,0.0279068996459017,0.188974749978879,0.014,0.084,"","q0"
"187","small","STM","FD","small_STM_FD_q1","LF vs SF",1,0.107848604887478,15.7561465726571,0.219579051067119,0.26112984024329,0.260282708212441,0.001,0.006,"*","q1"
