"Region","Plot","Order.q","Size","qD","qAUC","qPD","Degrad"
"PGM","274_2",0,"small",51,8.14898577059407,19.4012951997438,"Logged-and-burned"
"PGM","274_2",1,"small",33.0638851535204,5.63889532832406,6.14353060546085,"Logged-and-burned"
"PGM","274_2",2,"small",19.880420499343,4.08797022571428,2.67350476592238,"Logged-and-burned"
"PGM","274_3",0,"small",67,9.63677922884799,23.2957649334489,"Logged"
"PGM","274_3",1,"small",37.1172096067049,6.16992230593309,6.45048170415992,"Logged"
"PGM","274_3",2,"small",18.4754098360656,4.1417408641785,2.67284806083574,"Logged"
"PGM","274_4",0,"small",53,8.85370019124768,20.7880579678432,"Logged-and-burned"
"PGM","274_4",1,"small",20.5296511333348,4.70724825698276,5.50986571204293,"Logged-and-burned"
"PGM","274_4",2,"small",9.19383067162546,3.22980764820857,2.53911414628392,"Logged-and-burned"
"PGM","274_5",0,"small",52,8.6198437550361,21.7260551922445,"Logged-and-burned"
"PGM","274_5",1,"small",34.9004114674011,6.40170235435924,7.1526079182602,"Logged-and-burned"
"PGM","274_5",2,"small",21.8409090909091,4.82143069758159,2.91934216853872,"Logged-and-burned"
"PGM","274_6",0,"small",69,10.2762218949935,24.6017185874295,"Logged-and-burned"
"PGM","274_6",1,"small",59.7343671753226,8.78586886365332,8.18708905772369,"Logged-and-burned"
"PGM","274_6",2,"small",51.7985611510791,7.76755706283237,2.90015715887634,"Logged-and-burned"
"PGM","274_7",0,"small",76,10.5438395816311,26.8051096138434,"Logged-and-burned"
"PGM","274_7",1,"small",62.2533011261287,8.40963270475969,7.62744530792637,"Logged-and-burned"
"PGM","274_7",2,"small",50.6633165829146,6.90603047924597,2.66783963206571,"Logged-and-burned"
"PGM","274_8",0,"small",52,8.64117878258162,20.0768594254309,"Logged-and-burned"
"PGM","274_8",1,"small",36.2535093736429,6.55398540910091,7.62031613337265,"Logged-and-burned"
"PGM","274_8",2,"small",24.8573853989813,5.21221844207392,3.20094448402353,"Logged-and-burned"
"PGM","315_1",0,"small",59,9.24939237418214,22.5312254486182,"Logged-and-burned"
"PGM","315_1",1,"small",40.0540265961924,6.89732477567952,7.18383089067792,"Logged-and-burned"
"PGM","315_1",2,"small",27.0132100396301,5.33987916576823,2.79438594780501,"Logged-and-burned"
"PGM","315_11",0,"small",28,5.75656468511122,11.5965623630723,"Logged-and-burned"
"PGM","315_11",1,"small",11.0541996863142,3.13266907257722,3.36580894730849,"Logged-and-burned"
"PGM","315_11",2,"small",6.15577889447236,2.42807862450494,2.00223132339362,"Logged-and-burned"
"PGM","315_2",0,"small",19,4.75646515080303,9.49641284402208,"Secondary forest"
"PGM","315_2",1,"small",16.7568268419215,4.29141153621665,4.81402923718943,"Secondary forest"
"PGM","315_2",2,"small",14.9178082191781,3.9444444832884,2.42837673312212,"Secondary forest"
"PGM","315_3",0,"small",83,11.5822175445244,27.4137396811302,"Logged-and-burned"
"PGM","315_3",1,"small",60.0005735611243,8.54824537615698,8.01418719438591,"Logged-and-burned"
"PGM","315_3",2,"small",39.5740458015267,6.28115183765615,2.82906710838643,"Logged-and-burned"
"PGM","315_4",0,"small",51,8.07806818372661,18.9224695552509,"Logged-and-burned"
"PGM","315_4",1,"small",27.1973120272576,5.38873918070105,6.02220255370698,"Logged-and-burned"
"PGM","315_4",2,"small",14.6034482758621,4.00166638822597,2.67559050415587,"Logged-and-burned"
"PGM","315_5",0,"small",12,3.68669617827875,7.06911364074532,"Logged-and-burned"
"PGM","315_5",1,"small",8.41036979278488,3.06368163201306,3.63213283150313,"Logged-and-burned"
"PGM","315_5",2,"small",6.32098765432099,2.70924902058879,2.20463499557508,"Logged-and-burned"
"PGM","342_1",0,"small",68,9.67369921706441,23.1343878466378,"Logged"
"PGM","342_1",1,"small",42.0241562215444,6.65497225348224,6.381472212828,"Logged"
"PGM","342_1",2,"small",24.7975708502024,4.75313533958729,2.4269508220044,"Logged"
"PGM","342_10",0,"small",49,7.40282587856928,19.7473580081547,"Secondary forest"
"PGM","342_10",1,"small",33.544107576836,5.63251405589753,7.67377490220619,"Secondary forest"
"PGM","342_10",2,"small",24.0207792207792,4.55883904410181,3.65644757029075,"Secondary forest"
"PGM","342_11",0,"small",46,8.25704970208135,19.4121174376752,"Secondary forest"
"PGM","342_11",1,"small",34.4147031515979,6.70308373864575,8.06484599654019,"Secondary forest"
"PGM","342_11",2,"small",26.28125,5.6993644640927,3.42959501148131,"Secondary forest"
"PGM","342_12",0,"small",41,7.1519393643251,17.8363054794441,"Secondary forest"
"PGM","342_12",1,"small",26.5623765052347,5.39115887216412,7.17906289181723,"Secondary forest"
"PGM","342_12",2,"small",17.7233273056058,4.31807817598589,3.40485900445434,"Secondary forest"
"PGM","342_2",0,"small",63,9.55869358216492,25.2497745848419,"Logged"
"PGM","342_2",1,"small",33.3859124268374,6.1243550530252,7.02316535263284,"Logged"
"PGM","342_2",2,"small",17.785498489426,4.27289569832816,2.82564863477837,"Logged"
"PGM","342_3",0,"small",54,8.71983276468771,20.331489911235,"Logged"
"PGM","342_3",1,"small",22.6514218929427,4.84109080807412,5.43916986622743,"Logged"
"PGM","342_3",2,"small",12.4330548196454,3.51455609660822,2.42326657899485,"Logged"
"PGM","342_4",0,"small",68,9.36805411157841,23.3813382039975,"Logged"
"PGM","342_4",1,"small",50.0364562581942,6.99710270286482,7.23782307670744,"Logged"
"PGM","342_4",2,"small",39.026796589525,5.61203153477586,2.74350208922591,"Logged"
"PGM","342_5",0,"small",69,10.7306319495029,24.1595519952072,"Logged"
"PGM","342_5",1,"small",41.4231564612227,7.28051578276761,7.15261730092333,"Logged"
"PGM","342_5",2,"small",23.4906367041199,5.3287587025925,2.85817250856699,"Logged"
"PGM","342_6",0,"small",82,11.6568230033952,26.9943962222965,"Logged"
"PGM","342_6",1,"small",50.6510672715379,8.18945196222524,8.45087874252477,"Logged"
"PGM","342_6",2,"small",32.1930879038317,6.21144909031053,3.11591786199245,"Logged"
"PGM","342_7",0,"small",64,9.10629105403263,24.8456324206503,"Logged"
"PGM","342_7",1,"small",41.2749626142329,6.68969248277415,7.86717148919934,"Logged"
"PGM","342_7",2,"small",27.973555337904,5.3159860777568,2.91265161941884,"Logged"
"PGM","342_8",0,"small",66,9.51306313328036,21.4454084076317,"Logged"
"PGM","342_8",1,"small",44.8398312077653,6.84499253193436,6.40406548068629,"Logged"
"PGM","342_8",2,"small",30.0214689265537,4.93863726797138,2.58414372454929,"Logged"
"PGM","342_9",0,"small",58,8.69496571921911,20.387850238762,"Logged-and-burned"
"PGM","342_9",1,"small",32.4688616369749,5.66530825159187,6.65528852001512,"Logged-and-burned"
"PGM","342_9",2,"small",15.2490678598061,3.85719890482566,2.77898454984369,"Logged-and-burned"
"PGM","358_4",0,"small",64,9.25137980692203,21.6577953853679,"Logged"
"PGM","358_4",1,"small",42.9909005124984,6.91999444956867,7.11139610869445,"Logged"
"PGM","358_4",2,"small",29.6862944162437,5.53203424782858,2.8452869088222,"Logged"
"PGM","358_5",0,"small",60,9.56617225592034,22.4908591609364,"Logged-and-burned"
"PGM","358_5",1,"small",41.8469070901335,7.13273396398331,7.60633767295025,"Logged-and-burned"
"PGM","358_5",2,"small",29.0612612612613,5.62265641250499,3.17306282036028,"Logged-and-burned"
"PGM","369_1",0,"small",36,6.7711413377332,15.89818115429,"Logged-and-burned"
"PGM","369_1",1,"small",25.0738294845263,5.30182095408454,6.64013718342987,"Logged-and-burned"
"PGM","369_1",2,"small",18.3411306042885,4.39822961809217,3.02078836527239,"Logged-and-burned"
"PGM","369_10",0,"small",71,8.96652513939551,23.228691851711,"Logged"
"PGM","369_10",1,"small",52.9878574849004,7.07191644773416,7.57318741906305,"Logged"
"PGM","369_10",2,"small",39.0589390962672,5.72061810400436,2.86947337870797,"Logged"
"PGM","369_3",0,"small",48,7.4714697343294,17.6731751659862,"Logged"
"PGM","369_3",1,"small",27.1493465013178,4.93356358258242,5.47993232779866,"Logged"
"PGM","369_3",2,"small",14.2294455066922,3.40180921780992,2.37981350481105,"Logged"
"PGM","369_4",0,"small",56,8.26665338174153,20.0190389502649,"Logged"
"PGM","369_4",1,"small",41.6597486906892,6.27654761822983,7.16907386478533,"Logged"
"PGM","369_4",2,"small",31.8126232741617,5.10893219081601,3.16173873595594,"Logged"
"PGM","369_5",0,"small",52,8.31369575725168,21.4304984180787,"Logged-and-burned"
"PGM","369_5",1,"small",42.2662293246173,6.88848926083032,7.40173152347853,"Logged-and-burned"
"PGM","369_5",2,"small",35.6048565121413,5.94528333605896,2.79914071068039,"Logged-and-burned"
"PGM","369_6",0,"small",37,7.15338011089095,16.417000037709,"Logged-and-burned"
"PGM","369_6",1,"small",20.6819693909786,4.78420983333863,5.75342085554928,"Logged-and-burned"
"PGM","369_6",2,"small",12.6782608695652,3.61156566003112,2.97418812188571,"Logged-and-burned"
"PGM","369_7",0,"small",82,11.4535699746281,29.2539102853832,"Logged"
